 91981/100000: episode: 2367, duration: 2.919s, episode steps:  27, steps per second:   9, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.259 [0.000, 3.000],  loss: 0.001972, mae: 0.272051, mean_q: 0.381847, mean_eps: 0.917230
  4102/100000: episode: 104, duration: 0.095s, episode steps:  26, steps per second: 274, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.577 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4131/100000: episode: 105, duration: 0.098s, episode steps:  29, steps per second: 296, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.586 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4165/100000: episode: 106, duration: 0.101s, episode steps:  34, steps per second: 336, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.647 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4196/100000: episode: 107, duration: 0.092s, episode steps:  31, steps per second: 337, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.484 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4223/100000: episode: 108, duration: 0.095s, episode steps:  27, steps per second: 284, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.444 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4255/100000: episode: 109, duration: 0.091s, episode steps:  32, steps per second: 350, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.469 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4285/100000: episode: 110, duration: 0.085s, episode steps:  30, steps per second: 352, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.533 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4339/100000: episode: 111, duration: 0.166s, episode steps:  54, steps per second: 325, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.537 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4365/100000: episode: 112, duration: 0.078s, episode steps:  26, steps per second: 332, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.462 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4390/100000: episode: 113, duration: 0.078s, episode steps:  25, steps per second: 319, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.040 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4419/100000: episode: 114, duration: 0.097s, episode steps:  29, steps per second: 297, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.621 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4478/100000: episode: 115, duration: 0.175s, episode steps:  59, steps per second: 337, episode reward:  1.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 1.339 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4503/100000: episode: 116, duration: 0.085s, episode steps:  25, steps per second: 294, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.400 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4528/100000: episode: 117, duration: 0.075s, episode steps:  25, steps per second: 333, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.560 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4553/100000: episode: 118, duration: 0.074s, episode steps:  25, steps per second: 337, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.240 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4580/100000: episode: 119, duration: 0.094s, episode steps:  27, steps per second: 288, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.370 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4663/100000: episode: 120, duration: 0.232s, episode steps:  83, steps per second: 358, episode reward:  1.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 1.506 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4690/100000: episode: 121, duration: 0.082s, episode steps:  27, steps per second: 330, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.370 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4717/100000: episode: 122, duration: 0.080s, episode steps:  27, steps per second: 338, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.370 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4743/100000: episode: 123, duration: 0.090s, episode steps:  26, steps per second: 287, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.000 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4768/100000: episode: 124, duration: 0.093s, episode steps:  25, steps per second: 268, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.280 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4793/100000: episode: 125, duration: 0.075s, episode steps:  25, steps per second: 335, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.440 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4818/100000: episode: 126, duration: 0.091s, episode steps:  25, steps per second: 274, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.600 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4849/100000: episode: 127, duration: 0.095s, episode steps:  31, steps per second: 325, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.355 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4875/100000: episode: 128, duration: 0.085s, episode steps:  26, steps per second: 305, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.423 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4996/100000: episode: 129, duration: 0.331s, episode steps: 121, steps per second: 366, episode reward:  2.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 1.603 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5022/100000: episode: 130, duration: 0.075s, episode steps:  26, steps per second: 346, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.500 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5049/100000: episode: 131, duration: 0.083s, episode steps:  27, steps per second: 324, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.519 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5078/100000: episode: 132, duration: 0.097s, episode steps:  29, steps per second: 299, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.517 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5105/100000: episode: 133, duration: 0.098s, episode steps:  27, steps per second: 277, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.630 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5133/100000: episode: 134, duration: 0.088s, episode steps:  28, steps per second: 319, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.429 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5159/100000: episode: 135, duration: 0.091s, episode steps:  26, steps per second: 286, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.462 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5188/100000: episode: 136, duration: 0.089s, episode steps:  29, steps per second: 327, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.690 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5242/100000: episode: 137, duration: 0.162s, episode steps:  54, steps per second: 333, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.444 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5268/100000: episode: 138, duration: 0.077s, episode steps:  26, steps per second: 339, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.269 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5293/100000: episode: 139, duration: 0.077s, episode steps:  25, steps per second: 326, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.520 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5319/100000: episode: 140, duration: 0.088s, episode steps:  26, steps per second: 296, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.885 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5345/100000: episode: 141, duration: 0.082s, episode steps:  26, steps per second: 317, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.462 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5371/100000: episode: 142, duration: 0.103s, episode steps:  26, steps per second: 252, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.192 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5399/100000: episode: 143, duration: 0.104s, episode steps:  28, steps per second: 270, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.500 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5426/100000: episode: 144, duration: 0.094s, episode steps:  27, steps per second: 288, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.519 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5452/100000: episode: 145, duration: 0.081s, episode steps:  26, steps per second: 321, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.346 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5477/100000: episode: 146, duration: 0.086s, episode steps:  25, steps per second: 292, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.280 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5580/100000: episode: 147, duration: 0.280s, episode steps: 103, steps per second: 367, episode reward:  2.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.456 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5637/100000: episode: 148, duration: 0.156s, episode steps:  57, steps per second: 366, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.474 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5741/100000: episode: 149, duration: 0.284s, episode steps: 104, steps per second: 366, episode reward:  2.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.644 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5766/100000: episode: 150, duration: 0.103s, episode steps:  25, steps per second: 243, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.160 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5796/100000: episode: 151, duration: 0.114s, episode steps:  30, steps per second: 264, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.467 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5826/100000: episode: 152, duration: 0.104s, episode steps:  30, steps per second: 288, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.633 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5903/100000: episode: 153, duration: 0.214s, episode steps:  77, steps per second: 360, episode reward:  1.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 1.571 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5932/100000: episode: 154, duration: 0.086s, episode steps:  29, steps per second: 337, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.310 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5958/100000: episode: 155, duration: 0.078s, episode steps:  26, steps per second: 334, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.577 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5984/100000: episode: 156, duration: 0.089s, episode steps:  26, steps per second: 294, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.538 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6016/100000: episode: 157, duration: 0.093s, episode steps:  32, steps per second: 346, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.312 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6074/100000: episode: 158, duration: 0.171s, episode steps:  58, steps per second: 339, episode reward:  1.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 1.603 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6099/100000: episode: 159, duration: 0.087s, episode steps:  25, steps per second: 289, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.200 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6125/100000: episode: 160, duration: 0.080s, episode steps:  26, steps per second: 327, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.654 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6156/100000: episode: 161, duration: 0.098s, episode steps:  31, steps per second: 315, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.323 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6183/100000: episode: 162, duration: 0.080s, episode steps:  27, steps per second: 337, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.593 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6208/100000: episode: 163, duration: 0.078s, episode steps:  25, steps per second: 320, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 2.120 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6237/100000: episode: 164, duration: 0.098s, episode steps:  29, steps per second: 297, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.276 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6272/100000: episode: 165, duration: 0.103s, episode steps:  35, steps per second: 340, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.286 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6297/100000: episode: 166, duration: 0.077s, episode steps:  25, steps per second: 326, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.840 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6352/100000: episode: 167, duration: 0.193s, episode steps:  55, steps per second: 285, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.782 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6378/100000: episode: 168, duration: 0.081s, episode steps:  26, steps per second: 320, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.423 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6403/100000: episode: 169, duration: 0.078s, episode steps:  25, steps per second: 319, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.480 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6433/100000: episode: 170, duration: 0.113s, episode steps:  30, steps per second: 265, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.833 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6458/100000: episode: 171, duration: 0.077s, episode steps:  25, steps per second: 323, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.800 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6559/100000: episode: 172, duration: 0.368s, episode steps: 101, steps per second: 275, episode reward:  2.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 1.406 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6635/100000: episode: 173, duration: 0.333s, episode steps:  76, steps per second: 228, episode reward:  1.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 1.684 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6663/100000: episode: 174, duration: 0.136s, episode steps:  28, steps per second: 205, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.750 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6719/100000: episode: 175, duration: 0.248s, episode steps:  56, steps per second: 226, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.304 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6759/100000: episode: 176, duration: 0.168s, episode steps:  40, steps per second: 238, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.725 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6786/100000: episode: 177, duration: 0.145s, episode steps:  27, steps per second: 186, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.556 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6857/100000: episode: 178, duration: 0.307s, episode steps:  71, steps per second: 231, episode reward:  1.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 1.549 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6889/100000: episode: 179, duration: 0.135s, episode steps:  32, steps per second: 237, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.531 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6914/100000: episode: 180, duration: 0.143s, episode steps:  25, steps per second: 174, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.760 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6967/100000: episode: 181, duration: 0.247s, episode steps:  53, steps per second: 215, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.679 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7040/100000: episode: 182, duration: 0.322s, episode steps:  73, steps per second: 226, episode reward:  1.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 1.603 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7067/100000: episode: 183, duration: 0.130s, episode steps:  27, steps per second: 207, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.630 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7092/100000: episode: 184, duration: 0.125s, episode steps:  25, steps per second: 200, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.120 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7118/100000: episode: 185, duration: 0.122s, episode steps:  26, steps per second: 213, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.462 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7147/100000: episode: 186, duration: 0.160s, episode steps:  29, steps per second: 182, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.552 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7176/100000: episode: 187, duration: 0.138s, episode steps:  29, steps per second: 210, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.552 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7209/100000: episode: 188, duration: 0.158s, episode steps:  33, steps per second: 208, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.788 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7235/100000: episode: 189, duration: 0.119s, episode steps:  26, steps per second: 219, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.538 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7264/100000: episode: 190, duration: 0.135s, episode steps:  29, steps per second: 215, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.241 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7292/100000: episode: 191, duration: 0.130s, episode steps:  28, steps per second: 216, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.429 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7321/100000: episode: 192, duration: 0.087s, episode steps:  29, steps per second: 334, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.931 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7352/100000: episode: 193, duration: 0.107s, episode steps:  31, steps per second: 290, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.161 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7378/100000: episode: 194, duration: 0.081s, episode steps:  26, steps per second: 320, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.115 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7409/100000: episode: 195, duration: 0.105s, episode steps:  31, steps per second: 296, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.548 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7440/100000: episode: 196, duration: 0.107s, episode steps:  31, steps per second: 289, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.452 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7466/100000: episode: 197, duration: 0.078s, episode steps:  26, steps per second: 332, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.385 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7567/100000: episode: 198, duration: 0.276s, episode steps: 101, steps per second: 366, episode reward:  2.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 1.396 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7593/100000: episode: 199, duration: 0.080s, episode steps:  26, steps per second: 327, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.154 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7618/100000: episode: 200, duration: 0.078s, episode steps:  25, steps per second: 320, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.640 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7644/100000: episode: 201, duration: 0.094s, episode steps:  26, steps per second: 276, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.385 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7707/100000: episode: 202, duration: 0.175s, episode steps:  63, steps per second: 360, episode reward:  1.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 1.651 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7734/100000: episode: 203, duration: 0.101s, episode steps:  27, steps per second: 268, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.778 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7761/100000: episode: 204, duration: 0.085s, episode steps:  27, steps per second: 316, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.741 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7821/100000: episode: 205, duration: 0.182s, episode steps:  60, steps per second: 330, episode reward:  1.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 1.583 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7846/100000: episode: 206, duration: 0.076s, episode steps:  25, steps per second: 329, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.200 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7874/100000: episode: 207, duration: 0.085s, episode steps:  28, steps per second: 331, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.250 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  7929/100000: episode: 208, duration: 0.163s, episode steps:  55, steps per second: 338, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.218 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8003/100000: episode: 209, duration: 0.208s, episode steps:  74, steps per second: 356, episode reward:  1.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 1.338 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8061/100000: episode: 210, duration: 0.176s, episode steps:  58, steps per second: 329, episode reward:  1.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 1.534 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8089/100000: episode: 211, duration: 0.095s, episode steps:  28, steps per second: 296, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.071 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8117/100000: episode: 212, duration: 0.090s, episode steps:  28, steps per second: 311, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.214 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8144/100000: episode: 213, duration: 0.092s, episode steps:  27, steps per second: 292, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.630 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8171/100000: episode: 214, duration: 0.085s, episode steps:  27, steps per second: 316, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.593 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8250/100000: episode: 215, duration: 0.226s, episode steps:  79, steps per second: 349, episode reward:  1.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 1.418 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8275/100000: episode: 216, duration: 0.079s, episode steps:  25, steps per second: 318, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.200 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8309/100000: episode: 217, duration: 0.106s, episode steps:  34, steps per second: 320, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.500 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8337/100000: episode: 218, duration: 0.098s, episode steps:  28, steps per second: 287, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.714 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8371/100000: episode: 219, duration: 0.103s, episode steps:  34, steps per second: 329, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.529 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8444/100000: episode: 220, duration: 0.225s, episode steps:  73, steps per second: 324, episode reward:  1.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 1.726 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8469/100000: episode: 221, duration: 0.077s, episode steps:  25, steps per second: 326, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.520 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8494/100000: episode: 222, duration: 0.078s, episode steps:  25, steps per second: 322, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.840 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  8522/100000: episode: 223, duration: 0.094s, episode steps:  28, steps per second: 299, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.250 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
